composite_x,composite_y
0.803571429,-0.000287633
1.426311031,-0.002283944
2.049050633,-0.004358871
2.671790235,-0.006591033
3.294529837,-0.009059046
3.917269439,-0.011841528
4.540009042,-0.015017095
5.162748644,-0.018664364
5.785488246,-0.022861953
6.408227848,-0.027670529
7.03096745,-0.033067988
7.653707052,-0.038997829
8.276446655,-0.045402279
8.899186257,-0.052223563
9.521925859,-0.059403907
10.14466546,-0.066885537
10.76740506,-0.074610679
11.39014467,-0.082521594
12.01288427,-0.090573289
12.63562387,-0.098779204
13.25836347,-0.107178246
13.88110307,-0.115809644
14.50384268,-0.124712622
15.12658228,-0.133926408
15.74932188,-0.143490227
16.37206148,-0.153443307
16.99480108,-0.163822188
17.61754069,-0.174558756
18.24028029,-0.185408827
18.86301989,-0.1961033
19.48575949,-0.206373073
20.1084991,-0.215949045
20.7312387,-0.224562115
21.3539783,-0.231943181
21.9767179,-0.237823141
22.5994575,-0.241936845
23.22219711,-0.244141695
23.84493671,-0.244441255
24.46767631,-0.242848001
25.09041591,-0.239374407
25.71315552,-0.23403295
26.33589512,-0.226836103
26.95863472,-0.217796343
27.58137432,-0.206926145
28.20411392,-0.194248891
28.82685353,-0.180009447
29.44959313,-0.164662596
30.07233273,-0.148671691
30.69507233,-0.13250008
31.31781193,-0.116611114
31.94055154,-0.101468144
32.56329114,-0.08753452
33.18603074,-0.075273592
33.80877034,-0.065121129
34.43150995,-0.057111721
35.05424955,-0.050975457
35.67698915,-0.046434738
36.29972875,-0.043211966
36.92246835,-0.041029543
37.54520796,-0.039609871
38.16794756,-0.038675352
38.79068716,-0.037948387
39.41342676,-0.037177865
40.03616637,-0.036317697
40.65890597,-0.03541749
41.28164557,-0.034527393
41.90438517,-0.033697554
42.52712477,-0.032978121
43.14986438,-0.032419242
43.77260398,-0.032071065
44.39534358,-0.031983737
45.01808318,-0.032192114
45.64082278,-0.032674861
46.26356239,-0.033397683
46.88630199,-0.034326282
47.50904159,-0.035426364
48.13178119,-0.036663631
48.7545208,-0.038003787
49.3772604,-0.039412535
50,-0.04085558
